Distributor Name,Location,Vertical,Annual Sales Range,ARR Band,# of Products,Starting MRR,Ending MRR,MRR Growth,% MRR Growth,Starting ARR,Ending ARR,Segment
Torres Distribution,"New Stacy, NB, Canada",Bakery,$25mm - $50mm,$75k - $100k,2,"$7,323","$6,398",-$925,-0.1263,"$87,876",76776,At Risk Accounts
Hill Logistics,"Rodriguezville, OK, US",Broadline,$50mm - $100mm,$100k - $250k,2,"$9,364","$8,215","-$1,149",-0.12269999999999999,"$112,368",98580,At Risk Accounts
Alexander Logistics,"North Maryfort, OH, US",Meat,$25mm - $50mm,$100k - $250k,3,"$8,836","$7,773","-$1,063",-0.12029999999999999,"$106,032",93276,At Risk Accounts
Juarez Foods,"West Tiffany, IL, US",Specialty,$500mm - $1bn,$100k - $250k,4,"$8,501","$7,486","-$1,015",-0.11939999999999999,"$102,012",89832,At Risk Accounts
Warren Supply Co.,"East James, KY, US",Ice Cream,$10mm - $25mm,$25k - $50k,1,"$2,867","$2,525",-$342,-0.1193,"$34,404",30300,At Risk Accounts
Walton Distribution,"East Sydneychester, PE, Canada",Broadline,$10mm - $25mm,$75k - $100k,3,"$6,558","$5,781",-$777,-0.1185,"$78,696",69372,At Risk Accounts
Allison Distribution,"New Ericburgh, AK, US",Broadline,< $10mm,$25k - $50k,1,"$3,825","$3,377",-$448,-0.11710000000000001,"$45,900",40524,At Risk Accounts
Burns Distribution,"Paulmouth, LA, US",Broadline,$25mm - $50mm,$75k - $100k,2,"$6,274","$5,560",-$714,-0.11380000000000001,"$75,288",66720,At Risk Accounts
Harris Enterprises,"Rodneyfurt, NY, US",C-Store,$25mm - $50mm,$25k - $50k,1,"$2,773","$2,459",-$314,-0.11320000000000001,"$33,276",29508,At Risk Accounts
Lewis Enterprises,"Port Erin, WY, US",C-Store,$25mm - $50mm,$100k - $250k,1,"$8,990","$7,987","-$1,003",-0.1116,"$107,880",95844,At Risk Accounts
Vaughn Enterprises,"Cynthiatown, CT, US",Broadline,< $10mm,$25k - $50k,1,"$2,354","$2,094",-$260,-0.1105,"$28,248",25128,At Risk Accounts
Castaneda Enterprises,"Samanthashire, RI, US",Jan-San,$10mm - $25mm,$50 - $75k,2,"$5,239","$4,670",-$569,-0.10859999999999999,"$62,868",56040,At Risk Accounts
Perry Supply Co.,"Hillburgh, WA, US",Specialty,$50mm - $100mm,$100k - $250k,2,"$9,882","$8,820","-$1,062",-0.1075,"$118,584",105840,At Risk Accounts
Pierce Distribution,"Hammondshire, LA, US",C-Store,$500mm - $1bn,$100k - $250k,3,"$18,479","$16,517","-$1,962",-0.10619999999999999,"$221,748",198204,At Risk Accounts
Peterson Supply Co.,"Diazburgh, VT, US",Broadline,$10mm - $25mm,$10k - $25k,1,"$1,976","$1,768",-$208,-0.10529999999999999,"$23,712",21216,At Risk Accounts
Santiago Enterprises,"Port Jeremyport, KY, US",Meat,$100mm - $250mm,$100k - $250k,3,"$11,241","$10,076","-$1,165",-0.1036,"$134,892",120912,At Risk Accounts
Key Enterprises,"South Angelaside, OK, US",Coffee,< $10mm,$25k - $50k,3,"$3,831","$3,439",-$392,-0.1023,"$45,972",41268,At Risk Accounts
Patterson Foods,"Jennifertown, NS, Canada",C-Store,< $10mm,$25k - $50k,2,"$2,129","$1,920",-$209,-0.09820000000000001,"$25,548",23040,At Risk Accounts
Holmes Supply Co.,"Toddland, FL, US",Broadline,< $10mm,$25k - $50k,2,"$2,369","$2,138",-$231,-0.0975,"$28,428",25656,At Risk Accounts
Warner Supply Co.,"Barrmouth, NH, US",C-Store,< $10mm,$10k - $25k,1,"$1,749","$1,591",-$158,-0.09029999999999999,"$20,988",19092,At Risk Accounts
Garcia Enterprises,"Bellchester, NE, US",Seafood,$100mm - $250mm,$10k - $25k,2,"$2,041","$1,858",-$183,-0.0897,"$24,492",22296,At Risk Accounts
Ferrell Enterprises,"Lake Brett, WI, US",Seafood,$25mm - $50mm,$50 - $75k,1,"$5,830","$5,319",-$511,-0.0877,"$69,960",63828,At Risk Accounts
Abbott Distribution,"Ronaldview, MA, US",Jan-San,$10mm - $25mm,< $10k,2,$799,$729,-$70,-0.0876,"$9,588",8748,At Risk Accounts
Soto Distribution,"Kellyburgh, RI, US",Produce,$10mm - $25mm,$25k - $50k,2,"$3,482","$3,183",-$299,-0.0859,"$41,784",38196,At Risk Accounts
Boyd Foods,"Lake Cheyenne, AK, US",Meat,$50mm - $100mm,$50 - $75k,2,"$4,989","$4,570",-$419,-0.084,"$59,868",54840,At Risk Accounts
Rogers Enterprises,"Ortizfort, UT, US",Meat,$25mm - $50mm,$25k - $50k,2,"$3,629","$3,329",-$300,-0.0827,"$43,548",39948,At Risk Accounts
Wood Enterprises,"West Sarahberg, MB, Canada",Broadline,$10mm - $25mm,$50 - $75k,3,"$6,205","$5,695",-$510,-0.08220000000000001,"$74,460",68340,At Risk Accounts
Pena Logistics,"Port Greggton, NV, US",Specialty,< $10mm,$25k - $50k,3,"$3,498","$3,216",-$282,-0.0806,"$41,976",38592,At Risk Accounts
Dixon Foods,"South Jason, DE, US",Seafood,$50mm - $100mm,$25k - $50k,1,"$3,811","$3,508",-$303,-0.0795,"$45,732",42096,At Risk Accounts
Hancock Foods,"Stokesmouth, ID, US",Seafood,$10mm - $25mm,$10k - $25k,2,"$1,507","$1,388",-$119,-0.079,"$18,084",16656,At Risk Accounts
Santana Enterprises,"New Savannahshire, VT, US",C-Store,< $10mm,$25k - $50k,3,"$2,442","$2,253",-$189,-0.0774,"$29,304",27036,At Risk Accounts
Manning Enterprises,"Johnberg, OH, US",Seafood,$50mm - $100mm,$100k - $250k,2,"$10,793","$9,988",-$805,-0.0746,"$129,516",119856,At Risk Accounts
Edwards Distribution,"East Antonioton, TX, US",Jan-San,< $10mm,$25k - $50k,3,"$2,354","$2,181",-$173,-0.0735,"$28,248",26172,At Risk Accounts
Davis Supply Co.,"South Matthew, CO, US",Broadline,$100mm - $250mm,$25k - $50k,3,"$3,373","$3,126",-$247,-0.0732,"$40,476",37512,At Risk Accounts
Sampson Supply Co.,"Nicholasbury, TN, US",Specialty,< $10mm,$25k - $50k,2,"$2,378","$2,213",-$165,-0.0694,"$28,536",26556,At Risk Accounts
Deleon Enterprises,"New Seanstad, CT, US",C-Store,$25mm - $50mm,$25k - $50k,1,"$2,570","$2,392",-$178,-0.0693,"$30,840",28704,At Risk Accounts
Riley Foods,"Theresaberg, IN, US",Seafood,< $10mm,$10k - $25k,1,"$1,465","$1,364",-$101,-0.0689,"$17,580",16368,At Risk Accounts
Avila Supply Co.,"New Brianna, ON, Canada",Broadline,$50mm - $100mm,$50 - $75k,2,"$6,152","$5,729",-$423,-0.0688,"$73,824",68748,At Risk Accounts
Schultz Supply Co.,"Christianburgh, CT, US",Broadline,$50mm - $100mm,$100k - $250k,3,"$10,199","$9,500",-$699,-0.06849999999999999,"$122,388",114000,At Risk Accounts
Coleman Distribution,"Terryside, IA, US",Broadline,$500mm - $1bn,$250k+,3,"$25,767","$24,003","-$1,764",-0.06849999999999999,"$309,204",288036,At Risk Accounts
Herrera Distribution,"Shellyfurt, MA, US",Coffee,$25mm - $50mm,$75k - $100k,1,"$7,850","$7,321",-$529,-0.0674,"$94,200",87852,At Risk Accounts
Wright Supply Co.,"Fergusonchester, NC, US",Broadline,< $10mm,$25k - $50k,3,"$3,040","$2,842",-$198,-0.06509999999999999,"$36,480",34104,At Risk Accounts
Pierce Distribution,"Johnchester, AR, US",Broadline,$10mm - $25mm,$25k - $50k,3,"$2,432","$2,276",-$156,-0.0641,"$29,184",27312,At Risk Accounts
Cook Logistics,"North Valeriefort, WI, US",Seafood,$10mm - $25mm,$25k - $50k,3,"$2,801","$2,638",-$163,-0.0582,"$33,612",31656,At Risk Accounts
Maldonado Logistics,"Lake Ellenhaven, NJ, US",Produce,$250mm - $500mm,$100k - $250k,3,"$17,553","$16,598",-$955,-0.054400000000000004,"$210,636",199176,At Risk Accounts
Thompson Logistics,"Port Jennamouth, NV, US",Broadline,$50mm - $100mm,$10k - $25k,2,"$1,664","$1,575",-$89,-0.0535,"$19,968",18900,At Risk Accounts
Solis Logistics,"Scottchester, MO, US",Broadline,$50mm - $100mm,$25k - $50k,3,"$3,561","$3,384",-$177,-0.049699999999999994,"$42,732",40608,At Risk Accounts
Soto Distribution,"Stewartville, AR, US",C-Store,$25mm - $50mm,$50 - $75k,2,"$6,219","$5,949",-$270,-0.0434,"$74,628",71388,At Risk Accounts
Smith Distribution,"West Angelicamouth, SC, US",Broadline,< $10mm,$10k - $25k,1,"$1,585","$1,517",-$68,-0.0429,"$19,020",18204,At Risk Accounts
Williams Distribution,"West Carlatown, VA, US",Seafood,$10mm - $25mm,$25k - $50k,1,"$2,811","$2,691",-$120,-0.042699999999999995,"$33,732",32292,At Risk Accounts
Green Distribution,"Ewingfort, MB, Canada",Ice Cream,$25mm - $50mm,$75k - $100k,1,"$7,037","$6,737",-$300,-0.0426,"$84,444",80844,At Risk Accounts
Cruz Enterprises,"Kevintown, NE, US",Specialty,$50mm - $100mm,$50 - $75k,3,"$6,204","$5,942",-$262,-0.042199999999999994,"$74,448",71304,At Risk Accounts
Barnes Enterprises,"Marciaville, VT, US",Specialty,$100mm - $250mm,$100k - $250k,1,"$17,275","$16,555",-$720,-0.0417,"$207,300",198660,At Risk Accounts
Young Enterprises,"Jenniferstad, ME, US",Ice Cream,$10mm - $25mm,$50 - $75k,3,"$4,916","$4,713",-$203,-0.041299999999999996,"$58,992",56556,At Risk Accounts
Parker Enterprises,"South Meganport, WA, US",Bakery,< $10mm,$25k - $50k,3,"$3,665","$3,518",-$147,-0.0401,"$43,980",42216,At Risk Accounts
Martinez Distribution,"North Sarahburgh, NH, US",C-Store,$10mm - $25mm,$50 - $75k,1,"$5,062","$4,863",-$199,-0.0393,"$60,744",58356,At Risk Accounts
Heath Logistics,"South Carrieburgh, TN, US",Broadline,< $10mm,$25k - $50k,1,"$3,331","$3,205",-$126,-0.0378,"$39,972",38460,At Risk Accounts
Reid Foods,"Larrymouth, NJ, US",Seafood,$100mm - $250mm,$10k - $25k,1,"$1,528","$1,472",-$56,-0.0366,"$18,336",17664,At Risk Accounts
Wolf Supply Co.,"East Johnnyport, MS, US",Broadline,< $10mm,$25k - $50k,2,"$2,419","$2,331",-$88,-0.0364,"$29,028",27972,At Risk Accounts
Arnold Foods,"Stacymouth, CO, US",Meat,< $10mm,$10k - $25k,1,"$1,737","$1,675",-$62,-0.035699999999999996,"$20,844",20100,At Risk Accounts
Clark Enterprises,"Mullenbury, HI, US",Ice Cream,$10mm - $25mm,$50 - $75k,2,"$4,653","$4,487",-$166,-0.035699999999999996,"$55,836",53844,At Risk Accounts
Wagner Enterprises,"Lake Katrina, VA, US",C-Store,$100mm - $250mm,$100k - $250k,2,"$14,477","$13,975",-$502,-0.0347,"$173,724",167700,At Risk Accounts
Mccall Foods,"Lake Morgan, MD, US",Broadline,$250mm - $500mm,$100k - $250k,2,"$20,342","$19,652",-$690,-0.0339,"$244,104",235824,At Risk Accounts
Brennan Foods,"Carloshaven, WV, US",Produce,$25mm - $50mm,$50 - $75k,2,"$4,798","$4,647",-$151,-0.0315,"$57,576",55764,At Risk Accounts
Walters Logistics,"Lake Kellitown, ID, US",Produce,$25mm - $50mm,$50 - $75k,3,"$5,418","$5,250",-$168,-0.031,"$65,016",63000,At Risk Accounts
Taylor Distribution,"West Kristinport, IL, US",Ice Cream,< $10mm,$25k - $50k,2,"$3,266","$3,175",-$91,-0.0279,"$39,192",38100,At Risk Accounts
Phillips Enterprises,"Harrisberg, IA, US",Coffee,$10mm - $25mm,$10k - $25k,2,"$1,623","$1,583",-$40,-0.0246,"$19,476",18996,At Risk Accounts
Shields Foods,"Thomasburgh, PE, Canada",Jan-San,$50mm - $100mm,$75k - $100k,2,"$7,518","$7,369",-$149,-0.019799999999999998,"$90,216",88428,At Risk Accounts
Robinson Enterprises,"North Donna, ON, Canada",Broadline,$10mm - $25mm,$10k - $25k,2,"$1,498","$1,476",-$22,-0.0147,"$17,976",17712,At Risk Accounts
Curry Enterprises,"Ruizview, AZ, US",Produce,$50mm - $100mm,$100k - $250k,2,"$9,372","$9,258",-$114,-0.012199999999999999,"$112,464",111096,At Risk Accounts
Rivas Logistics,"Lake Stevenborough, CO, US",Produce,$500mm - $1bn,$100k - $250k,2,"$12,056","$11,925",-$131,-0.0109,"$144,672",143100,At Risk Accounts
Zavala Logistics,"Peterston, NS, Canada",Seafood,$100mm - $250mm,$100k - $250k,1,"$9,912","$9,810",-$102,-0.0103,"$118,944",117720,At Risk Accounts
Hill Foods,"South Marvinburgh, OH, US",Broadline,< $10mm,$10k - $25k,1,"$1,595","$1,581",-$14,-0.0088,"$19,140",18972,At Risk Accounts
Garner Distribution,"Jamesside, VT, US",Broadline,$50mm - $100mm,$25k - $50k,3,"$2,836","$2,812",-$24,-0.0085,"$34,032",33744,At Risk Accounts
Moran Foods,"Lake Jonathan, OH, US",Broadline,$25mm - $50mm,$50 - $75k,1,"$5,355","$5,312",-$43,-0.008,"$64,260",63744,At Risk Accounts
Daniels Foods,"Zacharyville, IN, US",Broadline,$25mm - $50mm,$10k - $25k,1,"$1,428","$1,418",-$10,-0.006999999999999999,"$17,136",17016,At Risk Accounts
Hughes Supply Co.,"West Robertville, LA, US",Broadline,< $10mm,< $10k,1,$764,$759,-$5,-0.006500000000000001,"$9,168",9108,At Risk Accounts
Jones Logistics,"North Anthony, NB, Canada",Broadline,$25mm - $50mm,$75k - $100k,3,"$7,540","$7,498",-$42,-0.005600000000000001,"$90,480",89976,At Risk Accounts
Parker Logistics,"Port Jennifermouth, PA, US",Produce,$50mm - $100mm,$100k - $250k,3,"$11,708","$11,670",-$38,-0.0032,"$140,496",140040,At Risk Accounts
Stewart Supply Co.,"South Brianna, MN, US",Broadline,$10mm - $25mm,$10k - $25k,1,"$2,077","$2,071",-$6,-0.0029,"$24,924",24852,At Risk Accounts
Serrano Supply Co.,"South Christopherfort, MO, US",Produce,$10mm - $25mm,$75k - $100k,1,"$6,872","$6,867",-$5,-0.0007000000000000001,"$82,464",82404,At Risk Accounts
Hill Supply Co.,"Davisborough, PE, Canada",C-Store,$100mm - $250mm,$100k - $250k,1,"$15,568","$15,568",$0,0.0,"$186,816",186816,Key Accounts
Walker Distribution,"North Kristinbury, PE, Canada",Jan-San,$50mm - $100mm,$50 - $75k,2,"$5,691","$5,691",$0,0.0,"$68,292",68292,Standard Accounts
Rhodes Distribution,"Port Kathyborough, WI, US",Broadline,$50mm - $100mm,$75k - $100k,3,"$7,821","$7,821",$0,0.0,"$93,852",93852,Standard Accounts
Miller Logistics,"Kimtown, NB, Canada",Coffee,$100mm - $250mm,$100k - $250k,1,"$10,689","$10,689",$0,0.0,"$128,268",128268,Key Accounts
Henderson Foods,"Micheleberg, NB, Canada",Jan-San,$10mm - $25mm,$25k - $50k,2,"$3,912","$3,912",$0,0.0,"$46,944",46944,Standard Accounts
Gardner Distribution,"Williamville, PE, Canada",Broadline,$250mm - $500mm,$100k - $250k,1,"$9,024","$9,024",$0,0.0,"$108,288",108288,Key Accounts
Moore Distribution,"Shawnchester, BC, Canada",Produce,$500mm - $1bn,$100k - $250k,1,"$16,842","$16,842",$0,0.0,"$202,104",202104,Key Accounts
Arnold Foods,"West Carolinestad, BC, Canada",C-Store,$50mm - $100mm,$75k - $100k,1,"$6,635","$6,635",$0,0.0,"$79,620",79620,Standard Accounts
Bush Supply Co.,"Bruceside, KS, US",Broadline,$25mm - $50mm,$25k - $50k,1,"$3,300","$3,300",$0,0.0,"$39,600",39600,Standard Accounts
Ramirez Enterprises,"Chavezburgh, NJ, US",Seafood,< $10mm,$10k - $25k,1,"$1,956","$1,956",$0,0.0,"$23,472",23472,Standard Accounts
Diaz Logistics,"North Ericton, AL, US",Broadline,< $10mm,$25k - $50k,1,"$3,517","$3,517",$0,0.0,"$42,204",42204,Standard Accounts
Adams Supply Co.,"Jasonhaven, NH, US",Specialty,$250mm - $500mm,$25k - $50k,1,"$2,574","$2,574",$0,0.0,"$30,888",30888,Standard Accounts
Lynch Foods,"East Randallton, NJ, US",Specialty,$10mm - $25mm,$25k - $50k,4,"$2,503","$2,503",$0,0.0,"$30,036",30036,Standard Accounts
Jackson Foods,"East Kevinborough, NB, Canada",Broadline,$100mm - $250mm,$75k - $100k,2,"$8,129","$8,129",$0,0.0,"$97,548",97548,Standard Accounts
Cameron Enterprises,"Mckinneychester, AR, US",Produce,$25mm - $50mm,$75k - $100k,2,"$6,344","$6,344",$0,0.0,"$76,128",76128,Standard Accounts
Johnson Supply Co.,"Christopherville, IA, US",C-Store,< $10mm,$25k - $50k,4,"$3,373","$3,373",$0,0.0,"$40,476",40476,Standard Accounts
Adams Distribution,"South Monicamouth, IL, US",Bakery,$10mm - $25mm,$50 - $75k,2,"$6,110","$6,110",$0,0.0,"$73,320",73320,Standard Accounts
Edwards Distribution,"East Curtis, SD, US",C-Store,< $10mm,$10k - $25k,1,"$2,020","$2,020",$0,0.0,"$24,240",24240,Standard Accounts
Foster Distribution,"East Stephaniefort, AZ, US",C-Store,$25mm - $50mm,$25k - $50k,3,"$3,115","$3,115",$0,0.0,"$37,380",37380,Standard Accounts
Wright Supply Co.,"South Carlos, FL, US",Broadline,$500mm - $1bn,$250k+,3,"$28,525","$28,525",$0,0.0,"$342,300",342300,Key Accounts
Baker Distribution,"West Williamport, LA, US",Jan-San,< $10mm,$25k - $50k,3,"$2,656","$2,656",$0,0.0,"$31,872",31872,Standard Accounts
Burton Logistics,"Ritterhaven, MT, US",C-Store,$50mm - $100mm,$50 - $75k,4,"$4,937","$4,937",$0,0.0,"$59,244",59244,Standard Accounts
James Enterprises,"West Codyfurt, MO, US",Meat,< $10mm,$25k - $50k,2,"$2,418","$2,418",$0,0.0,"$29,016",29016,Standard Accounts
Rice Distribution,"Christopherberg, IA, US",Produce,$10mm - $25mm,$25k - $50k,1,"$3,241","$3,241",$0,0.0,"$38,892",38892,Standard Accounts
Adams Logistics,"East Matthew, DE, US",Ice Cream,$1bn+,$100k - $250k,1,"$17,447","$17,447",$0,0.0,"$209,364",209364,Key Accounts
Rodriguez Logistics,"North Kenneth, NY, US",Produce,$10mm - $25mm,$75k - $100k,2,"$6,271","$6,271",$0,0.0,"$75,252",75252,Standard Accounts
Mckay Distribution,"Mooreburgh, MS, US",Broadline,< $10mm,$10k - $25k,2,"$1,678","$1,678",$0,0.0,"$20,136",20136,Standard Accounts
Liu Distribution,"Lake Samuel, WV, US",Produce,$100mm - $250mm,$10k - $25k,2,"$1,924","$1,924",$0,0.0,"$23,088",23088,Standard Accounts
White Foods,"New John, NE, US",C-Store,$25mm - $50mm,$25k - $50k,1,"$3,991","$3,991",$0,0.0,"$47,892",47892,Standard Accounts
Tucker Enterprises,"Rodriguezport, QC, Canada",Produce,< $10mm,$25k - $50k,2,"$3,481","$3,481",$0,0.0,"$41,772",41772,Standard Accounts
Hodges Enterprises,"South Danielle, AK, US",C-Store,$25mm - $50mm,$50 - $75k,2,"$5,002","$5,002",$0,0.0,"$60,024",60024,Standard Accounts
Ryan Logistics,"West Kristinastad, NH, US",Jan-San,$100mm - $250mm,$100k - $250k,3,"$9,795","$9,795",$0,0.0,"$117,540",117540,Key Accounts
Kim Logistics,"Port Dennis, ON, Canada",Broadline,$50mm - $100mm,$100k - $250k,2,"$9,953","$9,953",$0,0.0,"$119,436",119436,Key Accounts
Morgan Enterprises,"Haysside, GA, US",Jan-San,< $10mm,$25k - $50k,3,"$3,694","$3,694",$0,0.0,"$44,328",44328,Standard Accounts
Whitehead Distribution,"Lauriechester, VT, US",Seafood,$50mm - $100mm,$50 - $75k,2,"$5,809","$5,809",$0,0.0,"$69,708",69708,Standard Accounts
Lewis Foods,"Lake Scott, NJ, US",Broadline,< $10mm,$10k - $25k,2,$857,$857,$0,0.0,"$10,284",10284,Standard Accounts
Duncan Distribution,"Lake Danastad, KY, US",Broadline,$1bn+,$100k - $250k,1,"$14,700","$14,700",$0,0.0,"$176,400",176400,Key Accounts
Owens Distribution,"Debrabury, TX, US",Broadline,$25mm - $50mm,$75k - $100k,2,"$7,469","$7,469",$0,0.0,"$89,628",89628,Standard Accounts
Joyce Supply Co.,"Kimberlymouth, AB, Canada",Specialty,$50mm - $100mm,$100k - $250k,1,"$10,850","$10,850",$0,0.0,"$130,200",130200,Key Accounts
Garcia Enterprises,"New Justin, SK, Canada",Coffee,$250mm - $500mm,$100k - $250k,1,"$18,447","$18,447",$0,0.0,"$221,364",221364,Key Accounts
Leblanc Foods,"Laraside, TN, US",Jan-San,$50mm - $100mm,$50 - $75k,1,"$4,308","$4,308",$0,0.0,"$51,696",51696,Standard Accounts
Huff Foods,"Davidside, GA, US",C-Store,< $10mm,$25k - $50k,1,"$2,800","$2,800",$0,0.0,"$33,600",33600,Standard Accounts
